book-title,author,star,buyers,cover,price $
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of",�Andrew Park,4.5,360,paperback,25.97
�Stephen J. Wright�and�Benjamin,,5,2,Hardcover,49.99
Data Smart: Using Data Science to Transform Information into Insight,John W. Foreman,4.5,344,paperback,20.49
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",Nick Singh�and�Kevin Huo,4.5,564,paperback,35.76
"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning",�Alex J. Gutman�and�Jordan,4.5,169,paperback,24.49
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",Thomas Nield,4.5,15,paperback,49.49
Data Science (The MIT Press Essential Knowledge series),"James W. Cortada (Author) , John Palfrey (Author) , Paul E. Ceruzzi (Author),4.5,376,paperback,9.61
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,Foster Provost�and�Tom Fawcett,4.5,954,paperback,40
Python for Data Science: A Hands-On Introduction,Yuli Vasiliev,5,1,paperback,29.99
Build a Career in Data Science,"�Emily Robinson,�Jacqueline",4.5,88,audio book,0
How to Lead in Data Science,�Jike Chong�and�Yue Cathy Ch,5,30,paperback,43.49
Minding the Machines: Building and Leading Data Science and Analytics Teams,�Jeremy Adamson,4.5,17,paperback,31.34
"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning",�Alex J. Gutman�and�Jordan,4.5,169,paperback,24.49
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",�Steven L. Brunton�and�J. Nathan Kutz,4.5,225,Hardcover,64.99
"Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking, 1st Edition,",Favo,0,0,paperback,19.99
Doing Data Science: Straight Talk from the Frontline,Doing Data Science: Straight Talk from the Frontline,4.5,170,paperback,26.3
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and",�Stefanie Molin�and�Ken Jee,4.5,62,paperback,35.67
Data Smart: Using Data Science to Transform Information into Insight,John W. Foreman,4.5,344,paperback,20.49
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",�Steven L. Brunton�and�J. Nathan,5,4,Hardcover,58.49
�Steven L. Brunton�and�J. Nathan,"�Justin Grimmer�,�Margaret E.",4.5,13,paperback,35.99
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter","�Wes McKinney�,�Jessica",0,0,paperback,62.99
"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools",�David Mertz,5,27,kindle,17.84
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning,"�Mark Girolami (Author) ,�Zhi-Hua Zhou (Author) ,�Haiping Lu (Author) ,�Konstantinos N. Plataniotis (Author) ,�",5,36,Hardcover,80.81
Human-Centered Data Science: An Introduction,"�Cecilia Aragon�,�Shion Guha,�",5,3,paperback,29.49
Executive Data Science,Roger Peng�|,4,11,paperback,19.99
Probability and Statistics for Data Science: Math + R + Data (Chapman & Hall/CRC Data Science Series),Norman Matloff�,4,29,paperback,52.95
Getting Started with Data Science: Making Sense of Data with Analytics (IBM Press),�Murtaza Haider,4.5,97,kindle,18.49
Hands-On Data Science with Anaconda: Utilize the right mix of tools to create high-performance data science,Dr. Yuxing Yan�and�James Yan�,3,18,kindle,17.84
"Data Science at the Command Line: Obtain, Scrub, Explore, and Model Data with Unix Power Tools",�Jeroen Janssens,4.5,17,paperback,39.21
End-to-End Data Science with SAS�: A Hands-On Programming Guide,James Gearheart,4.5,17,paperback,39.95
Interpretable AI: Building explainable machine learning systems,�Ajay Thampi�,0,0,paperback,49.99
Data Smart: Using Data Science to Transform Information into Insight,�John W. Foreman�,4.5,344,paperback,20.49
Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,�Daniel Vaughan,4.5,22,paperback,39.35
�Daniel Vaughan,�Chip Huyen�,4.5,82,paperback,43.49
The Art of Data Science,Roger Peng�and�Elizabeth Matsu,4.5,44,paperback,20
Data Structures the Fun Way: An Amusing Adventure with Coffee-Filled Examples,Jeremy Kubica,0,0,paperback,29.99
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",�Steven L. Brunton�and�J. Nathan Kutz,4.5,225,Hardcover,64.99
Cracking the Data Science Interview: 101+ Data Science Questions & Solutions,�Maverick Lin,3.5,44,paperback,11.99
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"�Upom Malik,�Matt Goldwasser",4.5,222,paperback,27.89
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,�Ethan Bueno de Mesquita�and�Anthony�,4,31,paperback,29.95
Out of Remote Control (7) (The DATA Set),Ada Hopper�and�Graham Ros,5,50,paperback,5.99
Invisible Women: Data Bias in a World Designed for Men,�Caroline Criado Perez,4,8309,paperback,14.99
Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine,y�Stephen Klosterman,0,0,paperback,39.95
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using,�Gareth Eagar,4.5,36,paperback,39.99
Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,Jim Frost,4.5,187,paperback,18.91
The Data Detective: Ten Easy Rules to Make Sense of Statistics,Tim Harford�and�Penguin Audio,4.5,594,audio book,0
Spark: The Definitive Guide: Big Data Processing Made Simple,�Bill Chambers�and�Matei Zaharia,4.5,342,paperback,55.58
The Art of Statistics: How to Learn from Data,David Spiegelhalter,4.5,2693,audio book,0
Handbook of Univariate and Multivariate Data Analysis with IBM SPSS,�Robert Ho,5,6,eTextbook,38.93
"Business Intelligence, Analytics, and Data Science: A Managerial Perspective","�Ramesh Sharda,�Dursun Dele",4.5,265,paperback,106.66
Foundations of Data Science,"y�Avrim Blum,�John Hopcroft,",4.5,44,Hardcover,51.99
The Hundred-Page Machine Learning Book,�Andriy Burk,4.5,818,paperback,31.99
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street", Nick Singh and Kevin Huo ,4.5,546,paperback,35.76
Data Science from Scratch: First Principles with Python,�Joel Grus,4.5,586,paperback,47.94
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,4.5,581,paperback,38.5
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"Peter Bruce,�Andrew Bruce",4.5,630,paperback,29.79
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,�Foster Provost�and�Tom Fawcett�,4.5,954,paperback,40
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",�Jonathan Schwabish�,4.5,235,paperback,25.98
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",�Garrett Grolemund�and�Hadley Wickham�,4.5,1341,paperback,47.49
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","�Ben Lorica,�William McKinney,�",4.5,1609,paperback,53.99
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",�Martin Kleppmann�,5,3065,paperback,23.37
Naked Statistics: Stripping the Dread from the Data,"Charles Wheelan,�Jonathan Davis",4.5,2229,paperback,11.69
Introduction to Machine Learning with Python: A Guide for Data Scientists,Andreas M�ller�and�Sarah Guido�,4.5,554,paperback,50
Mathematics for Machine Learning, Marc Peter,4.5,563,paperback,46.99
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",�Seth Stephens-Davidowitz,4.5,2283,paperback,14.89
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps","�Valliappa Lakshmanan�,�Sara Robinson",4.5,237,paperback,36.99
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",�Chris Fregly�and�Antje Barth,4.5,133,paperback,13.09
Real World AI: A Practical Guide for Responsible Machine Learning,�Alyssa Simpson Rochwerger�and�Wilson Pang,4.5,106,paperback,19.99
"Fundamentals of Machine Learning for Predictive Data Analytics: Algorithms, Worked Examples, and Case Studie","John D. Kelleher�,�B",4.5,96,Hardcover,66.5
Machine Learning: A Probabilistic Perspective (Adaptive Computation and Machine Learning series),Kevin P. Murphy,4.5,313,Hardcover,68.99
Practical Machine Learning in R,�Fred Nwanganga�and�Mike Chapple�,4.5,55,paperback,25.8
Machine Learning Pocket Reference: Working with Structured Data in Python,Matt harison,4.5,142,paperback,20.99
Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD,�Jeremy Howard�and�Sylvain Gugge,5,412,paperback,36.99
"Python Machine Learning By Example: Build intelligent systems using Python, TensorFlow 2, PyTorch, and scikit-",yuxi,4.5,65,paperback,34.99
Natural Language Processing with Transformers: Building Language Applications with Hugging Face,"�Lewis Tunstall�,�Leandro von",4.5,94,paperback,55.42
Thinking Clearly with Data: A Guide to Quantitative Reasoning and Analysis,Ethan Bueno de Mesquita�,4,31,paperback,29.95
Essential PySpark for Scalable Data Analytics: A beginner's guide to harnessing the power and ease of PySpark 3,sreeram,4.5,15,paperback,46.99
Learning R: A Step-by-Step Function Guide to Data Analysis,Richard cotton,4.5,150,paperback,40.99
Practical Machine Learning in R,Fred nwanganga,4.5,55,paperback,34.3
Roman's Data Science: How to monetize your data,"�Roman Zykov�,�Vladimir Vishvanyuk,",4.5,11,kindle,0
"Introduction to Computation and Programming Using Python, third edition: With Application to Computational",john V,4.5,103,paperback,55
Data Mesh: Delivering Data-Driven Value at Scale,�Zhamak Dehghani,4.5,85,paperback,58.99
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",EMC Education Services,4.5,181,Hardcover,43.99
"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Robert Johansson,4.5,109,paperback,33.34
Advanced Analytics with PySpark: Patterns for Learning from Data at Scale Using Python and Spark,"�Akash Tandon�,�Sandy Ryza",5,1,paperback,45.99
Statistics: The Art and Science of Learning from Data,"�Alan Agresti�,�Christine Franklin, et",4.5,121,Hardcover,175.43
"Data Science Interview: Prep for SQL, Panda, Python, R Language, Machine Learning, DBMS and RDBMS � And Mor",�DSI ACE PREP,5,51,paperback,24.99
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,Cathy Tanimura,5,37,paperback,40.49
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build",Aur�lien G�ron,5,3220,paperback,43.27
Data Juice: 101 Stories of How Organizations Are Squeezing Value from Available Data Assets,�Douglas B. Laney,5,4,paperback,28.95
Qualitative Data Analysis: A Methods Sourcebook,"y�Matthew B. Miles,�A. Michael Huberman,",5,195,paperback,85
Malware Data Science: Attack Detection and Attribution,Joshua Saxe�and�Hillary Sanders,4.5,86,paperback,39.56
"The ABCs of Data Science: By Real Data Scientists, For Future Data Scientists (Very Young Professionals)","Rikin Mathur,�Varun Bhartia�",4.5,25,paperback,14.99
Murach's Python for Data Analysis (Training & Reference),scott mccoy,4.5,19,paperback,59.5
DataStory: Explain Data and Inspire Action Through Story,Nancy Duarte,4.5,498,paperback,26.99
Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,jim frost,4.5,187,paperback,18.91
Effective Pandas: Patterns for Data Manipulation (Treading on Python),Matt harison,4.5,106,paperback,34.18
Practical Statistics for Data Scientists: 50 Essential Concepts,Peter Bruce�and�Andrew Bruce,4.5,398,paperback,89.99
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using,�Paul Crickard,4,94,paperback,37.79
"Deep Learning with Python, Second Edition",�Francois Chollet,4.5,125,paperback,39.49
Pattern Recognition and Machine Learning (Information Science and Statistics),Christopher M. Bishop,4,94,paperback,59.63
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"Sebastian Raschka�,�Yuxi (Hayden) Liu�",4.5,123,paperback,46.79
Deep Learning (Adaptive Computation and Machine Learning series),"Goodfellow�,�Yoshua Bengio�",4.5,1844,Hardcover,53.99
"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing",Magnus Ekman�,4.5,60,paperback,55.04
"Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence (Addison-Wesley Data & Analytics",Grant Beyleveld�,4.5,189,paperback,46.2
Deep Learning: A Practitioner's Approach,"Josh Patterson�,�Mike Loukides,",4,71,paperback,24.76
Python Programming for Beginners: The #1 Python Programming Crash Course for Beginners to Learn Pytho,�Codeone Publishing,4.5,365,paperback,19.9
"Deep Learning with Python, Second Edition",Francois Chollet�,4.5,125,paperback,39.49
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"Sebastian Raschka�,�Yuxi (Hayden) Liu",4.5,123,paperback,46.79
Deep Learning for Coders with Fastai and PyTorch: AI Applications Without a PhD,Jeremy Howard�and�Sylvain Gugger,5,412,paperback,36.99
R Programming for Beginners: An Introduction to Learn R Programming with Tutorials and Hands-On Examples,�Nathan Metzler,4.5,35,paperback,8.95
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3r",Sebastian Raschka�and�Vahid Mirjalili,4.5,379,paperback,51.99
Data Science (The MIT Press Essential Knowledge series),Kelleher�and�Brendan Tierney,5,376,paperback,9.61
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, &�",Nick Singh�and�Kevin Huo�,4.5,564,paperback,35.64
The Kaggle Book: Data analysis and machine learning for competitive data science,"Konrad Banachewicz�,�Luca Massaron",4.5,63,paperback,39.94
Advanced Deep Learning with Python: Design and implement advanced next-generation AI solutions using,Ivan Vasilev�,4.5,30,paperback,44.99
Deep Learning from Scratch: Building with Python from First Principles, Seth Weidman,4.5,78,paperback,38.99
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and",Thomas Nield�,4.5,15,paperback,49.99
Programming Machine Learning: From Coding to Deep Learning,Paolo Perrotta�,5,42,paperback,40.49
Deep Learning: A Visual Approach,Andrew Glassne,4.5,86,paperback,58.99
Grokking Deep Learning,Andrew Trask,4.5,133,paperback,39.49
Deep Learning for Sustainable Agriculture (Cognitive Data Science in Sustainable Computing),"Ramesh Poonia,�Vijander Sing",0,0,paperback,136.83
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning,Chris Albon�,4.5,172,paperback,47.52
The Deep Learning Revolution,"Terrence J. Sejnowski,�Shawn Compton,",4,65,Hardcover,29.95
Quantum Machine Learning with Python: Using Cirq from Google Research and IBM Qiskit,Santanu Pattanayak�,3.5,12,paperback,28.98
Deep Learning with Python,Francois Chollet�,4.5,1331,paperback,31.48
"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning",�Alex J. Gutman�and�Jordan Goldmeier�,4.5,169,paperback,24.49
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,Chip Huyen,4.5,82,paperback,43.49
Grokking Deep Reinforcement Learning,Miguel Morales�,4.5,47,paperback,49.99
The StatQuest Illustrated Guide To Machine Learning,Josh Starmer PhD,5,237,paperback,21.28
"Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms
",Nikhil Buduma and Nicholas Lacascio | ,4,91,paperback,43.99
Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep,LazyProgrammer,4,5,kindle,0
Introduction to Machine Learning with Python: A Guide for Data Scientists,Andreas M�ller�and�Sarah Guido,4.5,554,paperback,50
Programming PyTorch for Deep Learning: Creating and Deploying Deep Learning Applications,Ian Pointer,4,54,paperback,34.25
Deep Learning with JavaScript: Neural networks in TensorFlow.js,"Shanqing Cai�,�Stan Bileschi",5,29,paperback,43.49
"Advanced Deep Learning with TensorFlow 2 and Keras: Apply DL, GANs, VAEs, deep RL, unsupervised learning,",Rowel Atienza,4.5,60,kindle,17.19
Approaching (Almost) Any Machine Learning Problem,Abhishek Thakur,4.5,630,paperback,14.99
"Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python, scikit-learn,",Sebastian Raschka and Vahid Mirjalil,4.5,271,paperback,41.99
"Python Feature Engineering Cookbook: Over 70 recipes for creating, engineering, and transforming features to",Soledad Galli�,4,30,paperback,39.99
Machine Learning For Absolute Beginners: A Plain English Introduction (Machine Learning from Scratch),Oliver Theobal,4.5,1103,paperback,16.9
Deep Learning with Keras: Implementing deep learning models and neural networks with the power of Python,Antonio Gulli�and�Sujit Pal,3.5,52,paperback,51.99
Cracking the Data Science Interview: 101+ Data Science Questions & Solutions,Maverick Lin,3.5,44,paperback,11.99
"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the",Andrew Park,4.5,359,paperback,25.97
"Introduction to Machine Learning, fourth edition (Adaptive Computation and Machine Learning series)",Ethem Alpaydin,5,61,Hardcover,46.84
Machine Learning - A Journey To Deep Learning: With Exercises And Answers,Andreas Miroslaus Wichert and Luis Sa-couto,3.5,2,Hardcover,168
Data Science Programming All-in-One For Dummies,John Paul Mueller and Luca Massaron,5,23,paperback,22.49
The TensorFlow Workshop: A hands-on guide to building deep learning models from scratch using real-world,"Matthew Moocarme, Anthony S",4.5,26,paperback,41.99
"Matthew Moocarme,�Anthony S",Brett Lantz ,4.5,229,paperback,37.99
Practical MATLAB Deep Learning: A Project-Based Approach,Michael Paluszek�and�Stephanie Thoma,4,13,paperback,20.49
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world,V Kishore Ayyadevara�and�Yeshwanth Reddy,4.5,49,paperback,48.84
"Transformers for Natural Language Processing: Build, train, and fine-tune deep neural network architectures for NLP",Denis Rothman�and�Antonio,4.5,28,paperback,34.99
Exploring GPT-3: An unofficial first look at the general-purpose language processing API from OpenAI, Steve Tingiris and Bret Kinsella,4.5,18,paperback,49.99
Practical Natural Language Processing: A Comprehensive Guide to Building Real-World NLP Systems,"�Sowmya Vajjala�,�Bodhisattwa",4.5,136,paperback,55.01
Natural Language Processing with Python: Analyzing Text with the Natural Language Toolkit,"Steven Bird�,�Ewan Klein",4.5,178,paperback,52.03
"Natural Language Processing with Transformers, Revised Edition","Natural Language Processing with Transformers, Revised Edition",4,8,paperback,47.29
Natural Language Processing with Transformers: Building Language Applications with Hugging Face,"Lewis Tunstall�,�Leandro von",4.5,94,paperback,55.99
Introduction to Natural Language Processing (Adaptive Computation and Machine Learning series),�Adaptive Computation and Machine Learning (11 Books),4.4,39,Hardcover,27.48
"Natural Language Processing in Action: Understanding, Analyzing, and Generating Text with Python","Hobson Lane,�Hannes Hapke",4.3,112,audio book,0
"Transformers for Natural Language Processing: Build, train, and fine-tune deep neural network architectures for NLP",Denis Rothman,4.3,28,paperback,34.99
"Python Natural Language Processing Cookbook: Over 50 recipes to understand, analyze, and generate text for",�Zhenya Anti?,4,35,paperback,37.99
"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing,",Magnus Ekman,4.4,60,paperback,55.04
Natural Language Processing with PyTorch: Build Intelligent Language Applications Using Deep Learning,Delip Rao�and�Brian McMahan,4,45,paperback,54.85
Getting Started with Natural Language Processing,Ekaterina Kochmar,N/A,0,paperback,39.99
Natural Language Processing with Python and spaCy: A Practical Introduction,Yuli Vasiliev,4,N/A,paperback,26.78
"Python Natural Language Processing Cookbook: Over 50 recipes to understand, analyze, and generate text for",Zhenya Anti?,4,35,paperback,N/A
Text Analytics with Python: A Practitioner's Guide to Natural Language Processing,Dipanjan Sarkar,4.3,57,paperback,23.49
"Advanced Natural Language Processing with TensorFlow 2: Build effective real-world NLP applications using NER, RNN",Ashish Bansal,4.4,N/A,paperback,39.99
"Applied Natural Language Processing in the Enterprise: Teaching Machines to Read, Write, and Understand",Ankur A. Patel and Ajay Uppili,N/A,12,paperback,48.49
Linguistic Fundamentals for Natural Language Processing: 100 Essentials from Morphology and Syntax,Emily M. Bender,4.3,15,paperback,N/A
Natural Language Processing: A Machine Learning Perspective,Yue Zhang and Zhiyang Teng,5,3,Hardcover,59.09
Yue Zhang and Zhiyang Teng,Christopher D. Manning and Hinrich Schütze,4.4,61,Hardcover,N/A
Mastering Transformers: Build state-of-the-art models from scratch with advanced natural language processing,Savaş Yıldırım and Meysam Asgari-Chenaghlu,4.4,18,paperback,39.89
Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data,Jan Lukavsky,N/A,11,paperback,46.99
"Hands-On Natural Language Processing with PyTorch 1.x: Build smart, AI-driven linguistic applications using deep",Thomas Dop,4,4,paperback,N/A
A Thousand Brains: A New Theory of Intelligence,Jeff Hawkins,Richard Dawkins - foreword,4.4,1345,audio book,0
GPT-3: Building Innovative NLP Products Using Large Language Models,Sandra Kublik and Shubham Saboo,N/A,4,paperback,45.59
"Natural Language Processing in Action, Second Edition",Hobson Lane and Maria Dyshel,0,0,paperback,59.99
The Myth of Artificial Intelligence: Why Computers Can’t Think the Way We Do,Erik J. Larson,Perry Daniels, et al.,4.4,190,audio book,N/A
Text Mining with R: A Tidy Approach,Julia Silge and David Robinson,4.4,133,paperback,21.49
Representation Learning for Natural Language Processing,Zhiyuan Liu,Yankai Lin,,4.3,62,kindle,0
Mathematics for Machine Learning,Studies in Natural Language Processing (38 Books),4.3,563,paperback,N/A
Blueprints for Text Analytics Using Python: Machine Learning-Based Solutions for Common Real World (NLP),Jens Albrecht,Sidharth Ramachandran,5,24,paperback,51.99
The Natural Language Processing Workshop: Confidently design and build your own NLP projects with,Rohan Chopra,Aniruddha M. Godbole,4.4,8,kindle,N/A
You Look Like a Thing and I Love You: How Artificial Intelligence Works and Why It's Making the World a Weirder,Janelle Shane,4.4,581,paperback,15.99
Natural Language Processing: Python and NLTK,Nitin Hardeniya,Jacob Perkins, et,4,2,kindle,N/A
"Deep Reinforcement Learning Hands-On: Apply modern RL methods to practical problems of chatbots, robotics, discrete",Maxim Lapan,4.3,142,paperback,54.99
"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing,",Magnus Ekman,4.6,N/A,paperback,55.04
Machine Learning For Absolute Beginners: A Plain English Introduction (Machine Learning from Scratch),Oliver Theobald,4.4,1103,paperback,N/A
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,Benjamin Bengfort,4.4,76,paperback,44.99
"Python Machine Learning for Beginners: Learning from scratch NumPy, Pandas,",Machine Learning & Data Science for Beginner,4.3,53,paperback,N/A
Artificial Intelligence: A Modern Approach (Pearson Series in Artifical Intelligence),Pearson Series in Artifical Intelligence (1 Books),4.3,355,Hardcover,165.32
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build",Aurélien Géron,2,320,paperback,N/A
Building Chatbots with Python: Using Natural Language Processing and Machine Learning,Sumit Raj,N/A,37,paperback,31.1
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",Ben Lorica,William,4.3,1609,paperback,53.99
NumPy Cookbook,Ivan Idris,3.3,17,paperback,N/A
"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Robert Johansson,4.4,109,paperback,33.34
"Python Machine Learning for Beginners: Learning from scratch NumPy, Pandas, Matplotlib, Seaborn, Scikitlearn,",of: Machine Learning & Data Science for Beginners (9 Books)��|�by�AI Publishing,4.3,53,paperback,13.99
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney�,4,268,paperback,0
Pandas in Action,Boris Paskhaver�,5,8,paperback,45.99
"Python 3 Image Processing: Learn Image Processing with Python 3, NumPy, Matplotlib, and Scikit-image",Ashwin Pajankar,4,24,kindle,9.95
"The Python Bible Volume 3: Data Science (Numpy, Matplotlib, Pandas)",Florian Dedov�,4,17,paperback,7.99
Python Data Science Handbook: Essential Tools for Working with Data,�Jake VanderPlas,4.3,581,paperback,38.5
Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For,Maurice J. Thompson,4.3,3950,paperback,27.97
Data Science from Scratch: First Principles with Python,�Joel Grus,4.3,586,paperback,47.94
Python for Everybody: Exploring Data in Python 3,"Dr. Charles Russell Severance,�Sue B",4.3,2423,paperback,9.99
"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Robert Johansso,4.4,109,paperback,33.34
Matplotlib for Python Developers,Sandro Tos,3.4,28,paperback,39.32
Python and Matplotlib Essentials for Scientists and Engineers (Iop Concise Physics),Matt A. Wood,4,8,paperback,39.95
"Deep Learning with TensorFlow 2 and Keras: Regression, ConvNets, GANs, RNNs, NLP, and more with TensorFlow 2","Antonio Gulli�,�Amita Kapoor",4.3,114,paperback,32.99
TensorFlow 2.0 Computer Vision Cookbook: Implement machine learning solutions to overcome various computer,Jes�s Martinez,4.2,7,paperback,41.99
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd",Sebastian Raschka�and�Vahid Mirjalili,4.3,379,paperback,49.39
Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative,�Stefan Jansen,4.3,237,paperback,44.99
"Advanced Deep Learning with TensorFlow 2 and Keras: Apply DL, GANs, VAEs, deep RL, unsupervised learning,",Rowel Atienza,4.3,60,paperback,39.99